PXD ID	Country	Curator
PXD000274	China	attila/gerhard
PXD000275	Spain	attila/gerhard
PXD000276	Switzerland	attila
PXD000277	Israel	tobias
PXD000278	Netherlands	tobias
PXD000279	Germany	attila
PXD000280	UK	attila
PXD000281	Sweden	tobias
PXD000282	Norway	attila/gerhard
PXD000283	Estonia	tobias
PXD000284	Switzerland	tobias
PXD000285	Belgium	attila
PXD000286	USA	attila
PXD000287	France	attila
PXD000288	Germany	attila
PXD000289	UK	attila
PXD000292	Germany	tobias
PXD000293	Netherlands	attila
PXD000294	France	tobias
PXD000295	Canada	tobias
PXD000296	Spain	attila/gerhard
PXD000297	UK	attila
PXD000298	UK	attila
PXD000299	France	tobias
PXD000301	Belgium	attila/attila
PXD000302	Germany	tobias
PXD000303	Germany	attila/tobias
PXD000304	Belgium	tobias
PXD000305	Spain	attila
PXD000306	Poland	attila
PXD000307	Denmark	tobias
PXD000308	USA	tobias
PXD000309	Germany	attila
PXD000310	Germany	attila/gerhard
PXD000311	Austria	attila
PXD000312	USA	tobias
PXD000313	China	tobias
PXD000314	Taiwan	tobias
PXD000315	China	attila
PXD000316	Belgium	tobias
PXD000318	Denmark	tobias
PXD000319	Australia	tobias
PXD000320	USA	attila
PXD000321	USA	attila
PXD000322	USA	attila
PXD000323	USA	attila
PXD000324	USA	attila
PXD000325	Spain	tobias/attila
PXD000326	China	tobias
PXD000327	Australia	attila
PXD000328	Canada	attila
PXD000329	USA	attila
PXD000330	Germany	tobias
PXD000331	Switzerland	attila
PXD000332	Germany	attila/gerhard
PXD000333	Spain	tobias
PXD000334	USA	attila
PXD000335	USA	attila
PXD000336	Sweden	tobias
PXD000337	France	attila
PXD000339	South Africa	tobias
PXD000340	China	tobias
PXD000341	UK	tobias
PXD000342	Germany	tobias
PXD000343	Switzerland	tobias
PXD000345	UK	tobias
PXD000346	China	tobias
PXD000347	Netherlands	tobias
PXD000348	Germany	tobias
PXD000349	USA	tobias
PXD000350	Spain	tobias
PXD000352	Belgium	tobias
PXD000353	USA	tobias
PXD000354	Spain	tobias
PXD000355	Poland	tobias
PXD000356	Germany	tobias
PXD000357	USA	tobias
PXD000358	USA	tobias
PXD000359	UK	tobias
PXD000360	USA	tobias
PXD000361	USA	tobias
PXD000362	USA	tobias
PXD000363	USA	attila
PXD000364	France	tobias
PXD000366	Brazil	tobias
PXD000367	Spain	tobias
PXD000368	Finland	tobias
PXD000375	Taiwan	attila
PXD000376	USA	attila/attila
PXD000377	India	tobias
PXD000378	UK	tobias
PXD000379	Germany	tobias
PXD000380	Portugal	attila
PXD000381	USA	tobias
PXD000382	Germany	tobias
PXD000383	Japan	attila
PXD000384	USA	tobias
PXD000385	Canada	attila
PXD000386	Germany	attila
PXD000387	USA	tobias
PXD000388	USA	attila
PXD000389	USA	attila
PXD000390	USA	attila
PXD000391	USA	attila
PXD000392	USA	attila
PXD000393	USA	attila
PXD000394	Germany	attila
PXD000395	Republic of Korea	attila/attila/attila
PXD000396	Austria	tobias
PXD000397	Denmark	attila
PXD000398	Taiwan	tobias
PXD000399	Taiwan	tobias
PXD000400	Canada	tobias
PXD000401	Norway	attila
PXD000402	France	tobias
PXD000403	France	tobias
PXD000404	Finland	attila
PXD000405	USA	tobias
PXD000406	Spain	attila
PXD000408	Ireland	tobias
PXD000409	Germany	attila
PXD000410	USA	attila
PXD000411	Sweden	tobias
PXD000412	Switzerland	tobias
PXD000413	Netherlands	attila
PXD000414	USA	tobias
PXD000415	USA	tobias
PXD000416	Australia	tobias
PXD000417	Japan	tobias
PXD000418	Sweden	attila
PXD000419	USA	attila
PXD000420	Brazil	tobias
PXD000421	Germany	attila
PXD000422	China	tobias
PXD000423	Denmark	attila
PXD000424	Netherlands	attila
PXD000425	China	tobias
PXD000426	Belgium	attila
PXD000427	Switzerland	attila
PXD000429	Switzerland	attila
PXD000430	USA	attila
PXD000431	USA	attila
PXD000432	UK	attila
PXD000433	Sweden	tobias
PXD000434	Canada	attila
PXD000435	Sweden	tobias
PXD000436	Netherlands	attila
PXD000437	Germany	attila/gerhard
PXD000438	USA	tobias
PXD000439	USA	attila
PXD000440	USA	attila
PXD000441	Norway	attila/tobias
PXD000442	Spain	attila
PXD000443	Spain	attila
PXD000444	Sweden	attila
PXD000445	Switzerland	tobias
PXD000446	Germany	attila/gerhard
PXD000447	Spain	attila
PXD000448	UK	attila/andrew
PXD000449	Spain	attila
PXD000450	Spain	tobias
PXD000451	USA	tobias
PXD000452	Australia	tobias
PXD000453	Canada	tobias
PXD000454	China	attila
PXD000455	China	attila
PXD000456	UK	attila
PXD000457	Denmark	tobias
PXD000458	USA	attila
PXD000459	France	tobias
PXD000460	France	tobias
PXD000461	Japan	tobias
PXD000462	USA	attila
PXD000463	Republic of Korea	tobias
PXD000464	USA	attila
PXD000467	Taiwan	tobias
PXD000468	USA	tobias
PXD000469	Austria	tobias
PXD000470	China	tobias
PXD000471	USA	attila
PXD000472	UK	attila
PXD000473	Germany	tobias
PXD000474	Finland	tobias
PXD000475	Germany	tobias
PXD000476	Belgium	tobias
PXD000477	USA	tobias
PXD000478	Austria	tobias
PXD000479	India	tobias
PXD000480	Ireland	tobias
PXD000481	Canada	tobias
PXD000482	Canada	tobias
PXD000483	Switzerland	attila
PXD000484	Netherlands	attila
PXD000485	Netherlands	attila
PXD000487	Switzerland	attila
PXD000488	UK	attila
PXD000489	Germany	tobias
PXD000490	Germany	attila
PXD000491	Germany	attila
PXD000492	UK	attila
PXD000493	UK	attila
PXD000494	Estonia	tobias
PXD000495	USA	tobias
PXD000496	Germany	attila
PXD000497	Netherlands	attila
PXD000498	Switzerland	attila/attila
PXD000499	Finland	tobias
PXD000500	Australia	attila
PXD000501	Republic of Korea	tobias
PXD000502	Netherlands	attila
PXD000503	Switzerland	attila
PXD000504	Australia	tobias
PXD000505	Australia	tobias
PXD000506	USA	attila
PXD000507	Denmark	tobias
PXD000508	Germany	attila
PXD000509	Germany	attila
PXD000510	Netherlands	attila
PXD000511	Spain	tobias
PXD000512	Germany	attila/gerhard
PXD000513	Germany	tobias
PXD000514	Germany	attila/gerhard
PXD000515	USA	tobias
PXD000516	Canada	tobias
PXD000517	Canada	tobias
PXD000518	Canada	tobias
PXD000519	USA	tobias
PXD000520	USA	attila
PXD000521	Germany	attila
PXD000522	Netherlands	attila
PXD000523	Netherlands	attila
PXD000524	UK	attila
PXD000525	Spain	tobias
PXD000526	Germany	
PXD000527	China	tobias
PXD000528	Netherlands	attila
PXD000529	China	attila
PXD000531	Netherlands	attila
PXD000532	Germany	tobias
PXD000533	China	attila
PXD000534	Germany	tobias
PXD000535	China	attila
PXD000536	France	tobias
PXD000537	Switzerland	attila
PXD000538	Switzerland	attila
PXD000539	Canada	tobias
PXD000540	China	tobias
PXD000541	Australia	attila
PXD000542	Sweden	attila
PXD000543	Switzerland	attila
PXD000544	Japan	tobias
PXD000545	USA	tobias
PXD000546	France	attila
PXD000547	Germany	attila
PXD000548	Germany	attila
PXD000549	USA	attila
PXD000550	Netherlands	attila
PXD000551	Belgium	tobias/gerhard
PXD000552	Austria	tobias
PXD000553	USA	attila
PXD000554	Denmark	attila
PXD000555	Belgium	tobias
PXD000556	Estonia	tobias
PXD000557	USA	tobias
PXD000558	UK	attila
PXD000559	Denmark	attila
PXD000560	UK	tobias
PXD000561	USA	attila
PXD000563	USA	attila
PXD000564	Italy	tobias
PXD000565	Germany	attila
PXD000566	Germany	attila
PXD000567	Germany	attila
PXD000568	Germany	attila
PXD000569	France	tobias
PXD000570	Belgium	attila/attila
PXD000571	USA	attila
PXD000572	Germany	attila
PXD000573	Australia	attila
PXD000574	Finland	attila
PXD000575	USA	attila
PXD000576	France	tobias
PXD000577	Finland	attila
PXD000578	Sweden	attila
PXD000579	Spain	tobias
PXD000580	Brazil	tobias
PXD000581	Australia	tobias
PXD000582	Canada	tobias
PXD000583	Australia	attila
PXD000584	Brazil	attila
PXD000585	USA	attila
PXD000586	USA	attila
PXD000587	Germany	attila
PXD000588	Singapore	tobias
PXD000589	Switzerland	
PXD000590	Germany	
PXD000591	Netherlands	
PXD000592	USA	
PXD000593	USA	
PXD000594	UK	
PXD000596	UK	
PXD000597	UK	
PXD000598	Canada	
PXD000599	USA	attila/attila
PXD000600	Germany	attila
PXD000601	Germany	
PXD000602	USA	
PXD000603	Republic of Korea	
PXD000604	Sweden	
PXD000605	Norway	
PXD000606	China	
PXD000607	Belgium	
PXD000608	Italy	
PXD000609	Germany	/gerhard
PXD000610	Spain	
PXD000611	Brazil	
PXD000612	Germany	
PXD000613	Spain	
PXD000615	Netherlands	
PXD000616	Sweden	
PXD000617	Sweden	
PXD000618	Switzerland	
PXD000619	USA	
PXD000620	India	
PXD000621	Finland	
PXD000623	Switzerland	
PXD000624	USA	
PXD000625	Germany	
PXD000626	Sweden	
PXD000627	USA	
PXD000628	UK	
PXD000629	UK	
PXD000630	India	
PXD000631	Finland	
PXD000632	UK	
PXD000633	Spain	
PXD000634	USA	
PXD000635	USA	
PXD000636	France	attila/
PXD000637	Switzerland	
PXD000638	Switzerland	
PXD000639	USA	
PXD000640	Italy	
PXD000641	Spain	
PXD000642	Finland	
PXD000643	UK	
PXD000644	India	
PXD000645	UK	
PXD000646	China	
PXD000647	Germany	
PXD000651	Norway	
PXD000652	Norway	
PXD000653	Norway	
PXD000654	Norway	
PXD000655	Norway	
PXD000656	Norway	
PXD000657	Norway	
PXD000658	USA	
PXD000659	Switzerland	/gerhard
PXD000660	Germany	
PXD000661	Germany	
PXD000662	Spain	
PXD000663	UK	
PXD000664	USA	
PXD000666	Germany	
PXD000670	Finland	
PXD000671	Italy	
PXD000672	Switzerland	
PXD000673	Australia	
PXD000674	Norway	
PXD000675	UK	
PXD000676	Germany	
PXD000677	Finland	
PXD000678	UK	
PXD000679	USA	
PXD000680	USA	
PXD000681	Netherlands	
PXD000682	USA	attila
PXD000683	Finland	
PXD000684	USA	
PXD000685	Belgium	
PXD000686	Denmark	
PXD000687	Spain	
PXD000688	USA	
PXD000689	Japan	
PXD000690	Canada	
PXD000691	Sweden	tobias
PXD000692	USA	
PXD000693	USA	
PXD000694	Switzerland	
PXD000695	Canada	
PXD000696	Taiwan	
PXD000697	Netherlands	
PXD000698	Switzerland	
PXD000699	Italy	attila/attila
PXD000700	China	
PXD000701	Taiwan	
PXD000702	Germany	
PXD000703	UK	
PXD000704	Switzerland	
PXD000705	Netherlands	
PXD000706	UK	
PXD000707	Ireland	
PXD000708	Sweden	tobias
PXD000709	USA	
PXD000710	Australia	tobias
PXD000711	Germany	tobias
PXD000712	Germany	tobias
PXD000713	UK	tobias
PXD000714	France	attila
PXD000715	USA	
PXD000716	Germany	
PXD000717	Canada	
PXD000719	USA	
PXD000720	Canada	
PXD000721	Canada	
PXD000722	Norway	
PXD000723	Taiwan	
PXD000724	USA	
PXD000726	Switzerland	
PXD000728	Taiwan	
PXD000729	Belgium	
PXD000730	Switzerland	
PXD000731	Canada	
PXD000732	Spain	
PXD000733	Canada	
PXD000734	Canada	
PXD000735	France	
PXD000736	France	
PXD000737	USA	
PXD000738	UK	
PXD000739	UK	attila
PXD000740	USA	
PXD000741	USA	
PXD000742	Spain	
PXD000743	Denmark	
PXD000744	Spain	
PXD000746	Denmark	
PXD000747	Germany	
PXD000748	Singapore	
PXD000749	Spain	
PXD000750	USA	
PXD000751	Ireland	
PXD000752	Sweden	
PXD000753	Netherlands	
PXD000754	Republic of Korea	
PXD000755	Spain	
PXD000756	UK	
PXD000757	Spain	
PXD000758	Germany	
PXD000759	Netherlands	
PXD000760	Denmark	attila
PXD000761	USA	
PXD000762	Taiwan	
PXD000763	China	
PXD000764	UK	
PXD000765	UK	
PXD000766	Sweden	attila
PXD000767	China	
PXD000768	Italy	
PXD000769	Italy	
PXD000770	France	
PXD000771	Singapore	
PXD000772	UK	
PXD000773	China	
PXD000774	Singapore	
PXD000775	Belgium	
PXD000776	USA	
PXD000777	USA	attila
PXD000778	USA	
PXD000779	USA	
PXD000780	Germany	
PXD000781	Czech Republic	
PXD000782	Netherlands	sent to intact-help@ebi.ac.UK
PXD000783	USA	
PXD000784	Netherlands	
PXD000785	UK	
PXD000786	France	
PXD000787	USA	
PXD000788	USA	
PXD000789	Germany	
PXD000790	Germany	
PXD000791	Germany	
PXD000792	Germany	
PXD000793	Germany	
PXD000794	Germany	attila
PXD000795	India	
PXD000796	Germany	
PXD000797	Germany	
PXD000798	USA	
PXD000799	USA	
PXD000800	USA	
PXD000801	USA	
PXD000802	Spain	
PXD000803	Republic of Korea	
PXD000804	Brazil	
PXD000805	Spain	
PXD000806	China	
PXD000807	USA	
PXD000808	China	
PXD000809	USA	
PXD000810	China	
PXD000811	UK	
PXD000812	USA	
PXD000813	USA	
PXD000814	Netherlands	
PXD000815	Israel	attila/tobias
PXD000816	India	
PXD000817	France	
PXD000818	USA	
PXD000819	Brazil	
PXD000821	UK	
PXD000822	France	
PXD000834	Belgium	
PXD000835	USA	
PXD000836	Germany	
PXD000837	Singapore	
PXD000838	Italy	
PXD000848	India	tobias/tobias
PXD000849	Australia	attila
PXD000850	Republic of Korea	attila
PXD000851	Japan	attila
PXD000852	China	tobias
PXD000853	Canada	tobias
PXD000854	USA	attila
PXD000855	UK	attila
PXD000856	France	attila
PXD000857	China	
PXD000858	USA	
PXD000859	Belgium	
PXD000860	USA	
PXD000861	China	
PXD000862	Denmark	
PXD000863	Germany	
PXD000864	China	
PXD000865	Germany	
PXD000866	USA	
PXD000867	Germany	
PXD000868	China	
PXD000869	Saudi Arabia	
PXD000870	UK	
PXD000871	UK	
PXD000872	France	
PXD000873	USA	
PXD000874	USA	
PXD000875	France	
PXD000876	France	
PXD000877	Poland	
PXD000878	UK	
PXD000879	France	
PXD000880	Spain	
PXD000881	France	
PXD000882	USA	"Resubmitted & combined into PXD000858. PXD000882 still private, can be removed."
PXD000883	Germany	
PXD000884	France	
PXD000885	Denmark	attila/tobias
PXD000886	France	
PXD000887	UK	
PXD000888	Germany	
PXD000889	France	
PXD000890	France	tobias
PXD000891	Germany	
PXD000892	UK	
PXD000893	France	
PXD000894	UK	
PXD000895	USA	attila
PXD000896	USA	tobias/deepti
PXD000897	USA	
PXD000898	Japan	
PXD000899	UK	
PXD000900	USA	
PXD000901	Denmark	
PXD000902	Netherlands	
PXD000905	France	
PXD000906	Canada	
PXD000907	USA	
PXD000908	Germany	
PXD000909	China	
PXD000910	Japan	
PXD000911	Switzerland	
PXD000914	UK	
PXD000915	USA	
PXD000916	USA	
PXD000917	USA	
PXD000918	USA	attila/attila
PXD000919	USA	
PXD000920	USA	
PXD000921	India	
PXD000922	Russia	
PXD000923	China	
PXD000924	China	
PXD000925	USA	
PXD000926	Germany	
PXD000927	USA	
PXD000928	Sweden	
PXD000929	China	
PXD000930	Belgium	
PXD000931	Netherlands	
PXD000932	USA	
PXD000933	Switzerland	
PXD000934	Belgium	
PXD000935	Denmark	
PXD000936	China	
PXD000937	USA	
PXD000938	USA	tobias
PXD000939	Switzerland	
PXD000940	Switzerland	
PXD000941	Germany	
PXD000942	Germany	
PXD000943	Brazil	
PXD000944	Sweden	
PXD000945	Germany	
PXD000946	USA	
PXD000947	Netherlands	
PXD000948	Canada	
PXD000950	Republic of Korea	
PXD000951	China	
PXD000952	Germany	
PXD000953	Switzerland	attila
PXD000954	Switzerland	attila/attila
PXD000955	Germany	
PXD000956	USA	
PXD000957	USA	
PXD000958	USA	
PXD000959	China	
PXD000960	USA	
PXD000961	USA	
PXD000962	Germany	
PXD000963	New Zealand	
PXD000964	Switzerland	
PXD000965	Estonia	
PXD000966	USA	
PXD000967	USA	
PXD000968	Sweden	
PXD000969	Japan	attila
PXD000970	Netherlands	
PXD000971	Australia	
PXD000972	Japan	attila
PXD000973	Japan	attila
PXD000974	Germany	
PXD000975	UK	
PXD000976	China	
PXD000977	Australia	
PXD000978	Sweden	
PXD000979	USA	
PXD000980	Germany	
PXD000981	Germany	
PXD000982	Canada	
PXD000983	China	
PXD000984	USA	
PXD000985	Germany	
PXD000986	Japan	
PXD000987	Sweden	
PXD000988	Taiwan	
PXD000989	USA	
PXD000990	USA	
PXD000991	USA	
PXD000992	France	
PXD000993	Germany	
PXD000994	China	
PXD000995	USA	
PXD000996	Sweden	
PXD000997	Canada	
PXD000998	Taiwan	
PXD000999	Sweden	
PXD001000	USA	
PXD001001	Israel	
PXD001002	France	
PXD001003	Germany	
PXD001004	UK	
PXD001005	Germany	
PXD001006	USA	
PXD001007	Qatar	
PXD001008	UK	
PXD001009	UK	
PXD001010	Switzerland	
PXD001011	Australia	
PXD001012	Ireland	
PXD001013	Ireland	
PXD001014	Ireland	
PXD001015	Ireland	
PXD001016	Ireland	
PXD001017	Ireland	
PXD001018	Netherlands	
PXD001019	USA	
PXD001020	UK	
PXD001021	USA	
PXD001022	China	
PXD001023	Germany	/gerhard
PXD001024	France	
PXD001025	USA	
PXD001026	UK	
PXD001027	Switzerland	
PXD001028	USA	
PXD001029	Denmark	
PXD001030	China	
PXD001031	Sweden	
PXD001032	UK	
PXD001033	Republic of Korea	
PXD001034	Netherlands	
PXD001035	USA	
PXD001036	USA	
PXD001037	USA	
PXD001038	UK	
PXD001039	France	
PXD001040	Netherlands	
PXD001041	Netherlands	
PXD001042	UK	
PXD001043	France	
PXD001044	USA	
PXD001045	USA	
PXD001046	China	
PXD001047	UK	
PXD001048	Israel	
PXD001049	Spain	
PXD001050	USA	
PXD001051	France	
PXD001052	UK	
PXD001053	Canada	
PXD001054	UK	
PXD001055	Netherlands	
PXD001056	UK	
PXD001057	USA	
PXD001058	Spain	
PXD001059	Germany	
PXD001060	Germany	
PXD001061	Netherlands	
PXD001062	USA	
PXD001063	Denmark	
PXD001064	Switzerland	
PXD001065	Germany	
PXD001066	Germany	
PXD001067	Germany	
PXD001068	Netherlands	
PXD001069	Czech Republic	
PXD001070	Ireland	
PXD001071	India	/gerhard
PXD001072	Switzerland	
PXD001073	Czech Republic	attila
PXD001074	UK	tobias
PXD001075	USA	tobias
PXD001076	UK	attila
PXD001077	Norway	attila
PXD001078	Taiwan	tobias
PXD001079	USA	andrew
PXD001080	Mexico	tobias
PXD001081	USA	
PXD001082	Switzerland	
PXD001083	Canada	
PXD001084	Germany	
PXD001085	Ireland	
PXD001086	USA	
PXD001087	Denmark	
PXD001088	Netherlands	
PXD001089	Spain	
PXD001090	Spain	
PXD001091	Sweden	
PXD001094	USA	
PXD001095	USA	
PXD001096	Estonia	
PXD001097	India	
PXD001098	USA	
PXD001099	UK	
PXD001100	Luxembourg	
PXD001101	USA	
PXD001102	China	
PXD001103	Spain	
PXD001104	USA	
PXD001105	USA	
PXD001106	Spain	
PXD001107	USA	
PXD001108	France	
PXD001109	Poland	
PXD001110	Germany	
PXD001111	Netherlands	
PXD001112	China	
PXD001113	Germany	
PXD001114	Germany	
PXD001115	Denmark	
PXD001116	USA	
PXD001117	Portugal	
PXD001118	USA	
PXD001119	Germany	
PXD001120	UK	
PXD001121	Germany	
PXD001122	Germany	
PXD001123	Taiwan	
PXD001124	Italy	
PXD001125	China	
PXD001126	Switzerland	
PXD001127	USA	
PXD001128	USA	tobias
PXD001129	Denmark	
PXD001130	USA	
PXD001131	USA	
PXD001132	Australia	
PXD001133	Portugal	tobias
PXD001134	UK	
PXD001135	Netherlands	
PXD001152	China	
PXD001153	USA	
PXD001154	USA	
PXD001155	Belgium	
PXD001156	USA	
PXD001157	USA	
PXD001158	India	
PXD001159	Italy	
PXD001160	Taiwan	
PXD001161	USA	
PXD001162	Taiwan	
PXD001163	USA	
PXD001164	Netherlands	attila
PXD001165	UK	
PXD001166	Netherlands	
PXD001167	USA	
PXD001168	China	
PXD001169	Denmark	
PXD001170	Canada	tobias
PXD001171	USA	
PXD001172	USA	
PXD001173	Germany	
PXD001174	Denmark	
PXD001175	Germany	
PXD001176	China	
PXD001177	USA	
PXD001178	France	
PXD001179	USA	
PXD001180	USA	
PXD001181	Brazil	
PXD001182	UK	
PXD001183	UK	
PXD0011839	Germany	gerhard
PXD001184	USA	
PXD001185	USA	
PXD001186	UK	
PXD001187	USA	
PXD001188	India	
PXD001189	Germany	
PXD001190	Netherlands	
PXD001191	Canada	
PXD001192	USA	
PXD001193	Germany	
PXD001194	Israel	
PXD001195	Germany	
PXD001196	Germany	
PXD001197	Germany	tobias
PXD001198	Switzerland	
PXD001199	Belgium	
PXD001200	Japan	
PXD001201	Finland	
PXD001202	Finland	
PXD001203	Germany	
PXD001204	USA	
PXD001205	Norway	
PXD001206	USA	
PXD001207	Germany	
PXD001208	Netherlands	
PXD001209	China	
PXD001210	UK	
PXD001211	Switzerland	
PXD001212	Switzerland	
PXD001213	USA	
PXD001214	Canada	
PXD001215	Canada	
PXD001216	Japan	
PXD001217	Brazil	
PXD001218	China	
PXD001219	Denmark	
PXD001220	UK	
PXD001221	Germany	
PXD001222	USA	
PXD001223	UK	
PXD001224	Netherlands	
PXD001225	Belgium	
PXD001226	Netherlands	
PXD001237	USA	
PXD001238	China	
PXD001239	UK	
PXD001240	Germany	/gerhard
PXD001241	Germany	
PXD001242	USA	
PXD001243	China	
PXD001244	Germany	
PXD001245	Germany	
PXD001246	China	
PXD001247	USA	
PXD001248	Canada	
PXD001249	UK	
PXD001250	Germany	attila/gerhard
PXD001251	USA	attila
PXD001252	Germany	
PXD001253	France	
PXD001254	France	
PXD001255	USA	
PXD001256	Norway	
